x,y,val
7.4,0,11.7693
7.5,0,11.7857
7.6,0,11.8012
7.7,0,11.816
7.8,0,11.8301
7.9,0,11.8437
8,0,11.8566
8.1,0,11.8691
8.2,0,11.881
8.3,0,11.8926
8.4,0,11.9037
8.5,0,11.9146
8.6,0,11.925
8.7,0,11.9352
8.8,0,11.9451
8.9,0,11.9547
9,0,11.9642
9.1,0,11.9734
9.2,0,11.9825
9.3,0,11.9913
9.4,0,12.0001
9.5,0,12.0086
9.6,0,12.0171
9.7,0,12.0255
9.8,0,12.0337
9.9,0,12.0419
10,0,12.05
10.1,0,12.058
10.2,0,12.0659
10.3,0,12.0738
10.4,0,12.0816
10.5,0,12.0894
10.6,0,12.0972
10.7,0,12.1049
10.8,0,12.1125
10.9,0,12.1201
11,0,12.1277
11.1,0,12.1352
11.2,0,12.1427
11.3,0,12.1501
11.4,0,12.1575
11.5,0,12.1648
11.6,0,12.172
11.7,0,12.1792
11.8,0,12.1864
11.9,0,12.1934
12,0,12.2004
12.1,0,12.2072
12.2,0,12.214
12.3,0,12.2207
12.4,0,12.2272
12.5,0,12.2336
12.6,0,12.2399
12.7,0,12.246
12.8,0,12.252
12.9,0,12.2578
13,0,12.2634
13.1,0,12.2688
13.2,0,12.2741
13.3,0,12.2791
13.4,0,12.2839
13.5,0,12.2885
13.6,0,12.2928
13.7,0,12.2969
13.8,0,12.3007
13.9,0,12.3042
14,0,12.3075
14.1,0,12.3105
14.2,0,12.3132
14.3,0,12.3156
14.4,0,12.3177
14.5,0,12.3194
14.6,0,12.3209
14.7,0,12.322
14.8,0,12.3229
14.9,0,12.3234
15,0.1,12.3237
15,0.2,12.3242
15,0.3,12.325
15,0.4,12.3261
15,0.5,12.3276
15,0.6,12.3295
15,0.7,12.3316
15,0.8,12.3341
15,0.9,12.337
15,1,12.3402
15,1.1,12.3439
15,1.2,12.3479
15,1.3,12.3523
15,1.4,12.3571
15,1.5,12.3623
15,1.6,12.3679
15,1.7,12.3741
15,1.8,12.3807
15,1.9,12.3878
15,2,12.3954
15,2.1,12.4036
15,2.2,12.4124
15,2.3,12.4218
15,2.4,12.4319
15,2.5,12.4426
15,2.6,12.4541
15,2.7,12.4664
15,2.8,12.4796
15,2.9,12.4937
15,3,12.5088
15,3.1,12.525
15,3.2,12.5424
15,3.3,12.5609
15,3.4,12.581
15,3.5,12.6026
15,3.6,12.626
15,3.7,12.6513
15,3.8,12.6787
15,3.9,12.7088
15,4,12.7414
15,4.1,12.7773
15,4.2,12.8173
15,4.3,12.8614
15,4.4,12.911
15,4.5,12.968
15,4.6,13.034
15,4.7,13.1115
15,4.8,13.2083
15,4.9,13.3467
15.1,5,13.8705
15.2,5,14.1199
15.3,4.9,14.6628
15.3,4.8,14.7868
15.3,4.7,14.8733
15.3,4.6,14.9353
15.3,4.5,14.9818
15.3,4.4,15.0149
15.3,4.3,15.037
15.3,4.2,15.0497
15.3,4.1,15.0528
15.3,4,15.049
15.3,3.9,15.0375
15.3,3.8,15.019
15.3,3.7,14.9937
15.3,3.6,14.9626
15.3,3.5,14.925
15.3,3.4,14.8813
15.3,3.3,14.832
15.3,3.2,14.7764
15.3,3.1,14.716
15.3,3,14.6495
15.3,2.9,14.5776
15.3,2.8,14.5006
15.3,2.7,14.4178
15.3,2.6,14.3302
15.3,2.5,14.2371
15.3,2.4,14.1394
15.3,2.3,14.0362
15.3,2.2,13.9283
15.3,2.1,13.8157
15.3,2,13.6982
15.3,1.9,13.5768
15.3,1.8,13.4506
15.3,1.7,13.3206
15.3,1.6,13.1871
15.3,1.5,13.0502
15.3,1.4,12.9104
15.3,1.3,12.7683
15.3,1.2,12.6245
15.3,1.1,12.4799
15.3,1,12.3353
15.3,0.9,12.1923
15.3,0.8,12.0517
15.3,0.7,11.9162
15.3,0.6,11.7878
15.3,0.5,11.6691
15.3,0.4,11.5636
15.3,0.3,11.4752
15.3,0.2,11.408
15.3,0.1,11.3661
15.4,0,11.3381
15.5,0,11.2935
15.6,0,11.215
15.7,0,11.0945
15.8,0,10.9156
15.9,0,10.6192
16.1,0,10
16.2,0,10
16.3,0,10
16.4,0,10
16.5,0,10
16.6,0,10
16.7,0,10
16.8,0,10
16.9,0,10
17,0,10
17.1,0,10
17.2,0,10
17.3,0,10
17.4,0,10
17.5,0,10
17.6,0,10
17.7,0,10
17.8,0,10
17.9,0,10
18.1,0,12.3946
18.2,0,13.01
18.3,0,13.5119
